clean,label,label_id,source_file
تشکر از شما آقای نثار و اویس جان که زیبای های تیزک را به تصویر کشیده اید بسیار عالی موفق کامگار باشید عزيزان از اژدر شان دیدن نکردین اژدر هم ده امو قريه سنگ پول است,Happy,1,BV
سلام برادر عزیز انشالله که جور و صحتمند و سرحال و در پناه حق تعالی باشید و در جامعه هر رقم آدم پیدا میشه خوب بد و هر قسم آدم در جامعه امکان دارد که نظر بده یکی شما در نظرهای منفی زیاد توجه نکنید خواهشاً و یک نظر منفی را با ۱۰ تا نظر مثبت شما مقایسه کنید که حتما نظرهای مثبت بسیار بیشتر از نظرهای منفی هست و اون را بزارین به همون حالتی که خودشان با مفکوره خودشان میداند شاید در زندگی کلاً منفی باشد و بعضی افراد در جامعه هست که همیشه در فکرش منفی خطور میکند دومن من از همه کارهای شما واقعا سپاسگزاری میکنیم و همینطور که زحمت فراوانی میکشین و یکی از گفتمان شما که گفتین برای من منفعت ندارد من انتقاد دارم از شما شما این حرف را نزنید که برای من منفعت ندارد و همون خاک ما و شما هست و همون زمین ما و شما هست منفعتش قطعاً برای همه و خصوصاً هم خود شما یکی از افراد جامعه هستین و انشالله که منفعتش و خوشحالی و تفریحگاهش و همینطور آباتی کشور تمام از هموطنان شما با اضافه خود شما ارجمند منفعت دارد و دوم درباره کاری که گفتی انجینر صاحب کار میکنه کار انجینیرم جای سپاسگزاری دارد که ما ازش سپاسگزار باشیم و دوم در کشورهای بیرون سرکار که وقتی حاضر میشود و در اونجا هیچ انجینر و کارگر و مهندس و و اینا مطرح نیست ولو که اگر لازم باشه انجینیر و مهندسش حتماً کار میکنهرانندههام که راننده لودور و جرثقیل و دستگاههای بزرگی که در آنجا کار میکند و اگر از اون کار بیکار باشد حتما در کارهای شاقه و کارهای وسط دست به کار میشه و نمیتوانه بگه که من راننده لودور هستم یا انجینر هستم یا مهندس هستم و در جا به جاهایی که کار لازم باشه حتماً اونام دست به کار میشه و کار میکنه و همینطور از همه شما دست به کار دست به کاران عزیز و اونجایی که زحمت کشیدین سپاسگزاری میکنیم و دوم انجنیر های ما در اونجا نه بلکه در هر جایی باید دست به کار شود و کارهای وسط باشد و کارهای خودشان باشد و اینطوری فرهنگ سازی کنیم که خدای نخواسته ما نگوییم که ما اینجا میاریم دیگه کار نمیکنیم وسط کاری را نباید دست بزنیم یعنی متاسفانه در گذشته یک فرهنگ نسبتا بدی بوده که در افغانستان و ایران و پیاده شده که میگه انجینر کار نکنه راننده کار نکنه و این کار فقط به به توسط یک کارگر ساده باید انجام شود نه این فرهنگ فرهنگ خوبی نیست اینها را ما باید اصلاح بسازیم و تشکر خدا نگهدار خدا قوت و کارهای همه عزیز عزتمند ارجمند خدانگهدار شما,Neutral,2,BV
این بند درکجای بهسود موقعیت دارد آدرس دقیق راخواهانیم,Neutral,2,BV
خدا رحمتش کنه استاد واقع خیلی زحمت کشیده,Sad,5,BV
سلام درود آقای نثار عزیز اگر لطف کنید در ادامه سفر تان در ولسوالی مالستان زیبا که همجوار با ولسوالی جا غوری است یک گزارش تهیه کنید ممنون تان,Hope,0,BV
باخت شما ها هم من بفتخار است زنده باد قرمان های بهسود خودم از بهسود هستیم مدانم خیلی زیاد ایقتیساد زعیف است,Happy,1,BV
مه به عنوان یک باشنده جاغوری شما را به ایلات متحده جاغوری خوش آمدید میگویم,Happy,1,BV
عجب !!!!!! زمانیکه بند های آب و پروژه های ه دیگر در مناطق ه مرکزی نیاز به کمک و همکاریه همه جانبه ه کسانیکه در حال ه حاضر در قدرت هستند را نیازمند است هیچکدام خبری امیدوار کننده از سوی مقامات نمی آید، و این در حالیست که پروژه های سرک سازی و بند آب سازی در دیگر ولایات با کمک و هزینه ه همین عالی جناب ها و از بیت المال و پول های افغانستان ساخته میشود و در افتتاح آنها هم از مقامات ه بلند پایه حضور بعمل میآورند. اما در اینجا فقط به روز ه آخر یا یک روزی که خودشان صلاح بدانند می آیند و فقط نزاره گر هستند. این در حالیست که تمام ی هزینه ها و کمک ها از سوی مردم منطقه و کسانیکه در خارج از افغانستان و از مردم ه هزاره هستند تامین و جمع میشود. پس حقیقت ی تلخ که هر نوع حکومتی میآید ومیرود هیچ نگاه مثبت ی در زمینه انکشاف به مناطق مرکزی نمیکنند.,Sad,5,BV
بسیار عالی نثار جان,Happy,1,BV
ماشاالله آب زیاد ذخیره کردی .,Happy,1,BV
ماشاءالله بسیاری عالی,Happy,1,BV
موفق کامیاب باشی به اومید آبادی پیشرفت بیشتر خیر ببنه کسایی که کمک کدن میکنن,Happy,1,BV
ای بازار چه نام دارد؟,Neutral,2,BV
فعالیت رسانه ای در سایر مناطق چون ارزگان نیز باید فعال شوند تا از خیر و برکات آگاهی بخشیدن دیگران استفاده ببرند,Suprise,3,BV
بهسود پل افغانان عطا هم برو اگه وقت دارید,Neutral,2,BV
دریای هلمند را که مردم بهسود مهار کند برای کشاورزی در زمین وباغ استفاده کنند مثل زنده یاد نکومارا که در هلمند و ... انجام داد مردم آن ولایت از برکت الهی بهره می برند,Neutral,2,BV
دستهای تان را از راه دور میبوسم,Happy,1,BV
این آغا گفت ۲۸۰ دوکان بود بله سال ۱۳۷۳ هنوز طلبان۷۰ درصد افغانستان گرفته بود,Sad,5,BV
دوستا كمك كنيد اب مسلي دريا وري هست فكر كنم خيلي مفاد داره,Neutral,2,BV
زنده رسانه محترم بهسو تشکر ازخیرین عزیز,Happy,1,BV
ماشاءالله خیلی عالی ، موفق باشید,Happy,1,BV
انشالله که همیشه موفق باشید و آرزو دل خوش تنه سالیم دارم,Happy,1,BV
ماشاالله ماشاالله انشاالله همیشه موفق باشید,Happy,1,BV
ماشاالله نام خدا لطفاً هر کس ویدیو را میبیند یک لایک ویک کمنت کند,Hope,0,BV
موفق باشید خیلی ویدیو های تان قشنگ است تشکر از زحمات تان,Happy,1,BV
باید صندوق های خیریه گذاشته شود در محافل های عروسی فاتحه مهمانی بزرگان لطف کنند همین کار انجام دهد چه در خارج چه در داخل به اندازه توان شان کمک کنند,Neutral,2,BV
عيد غدير از همه عيدها افضل هست كه از زهن ها گم شوده. عيد نيمه شعبان براى ما شعيان روز بزورگى هست كه امام زمان ما زنده هيات هست دربين ما راه ميرود در منابير هاى ما وخانه هاى ماهست بايد جشن بزورگى تداروك بگيرد,Hope,0,BV
ماشالله و نام خدا بریت آقای نثار عزیز دست گل ات درد نکنه افتخار میکنیم که بهسود همچون شما جوان بادرک و دلسوز دارد,Happy,1,BV
اغای نیسار خیلی پور حرفی میکنید,Sad,5,BV
عمرتون صد شب یلدا دلتون قدر یه دنیا توی این شبهای سرما یادتون همیشه با ما دل خوش باشه نصیبت غم بمونه واسه فردا یلداتون مبارک,Happy,1,BV
سلام! از چی طریق با شما در تماسی شویم,Neutral,2,BV
سلام نثار جان همکاران محترمتان صدای شما نداریم,Sad,5,BV
مسجد فقط واجبات و قرآن یاد بگیره بس است خلی زیاد است. از درس مکتب کوشش کنید بالا بریم آینده همه چیز کامپیوتری میشه دیگه درس ملاهای سر تاوه خواب بدرد خرم نميخوره,Sad,5,BV
سلام و تشکر فراوان از شما عزیزان که همیشه برنامه های خوب تهیه میکنید,Suprise,3,BV
تشکراز برنامه خوب تان خداقوت,Happy,1,BV
بسیار عالی موفق باشید,Happy,1,BV
تا از گلوی سینه ما درد پاره است نام شکوهمندی عدالت هزاره است یک جهان تشکر بیرار دم تا ما دست خوره به دست همدیگر ندهیم هیچ وقت موفق نمیشویم,Happy,1,BV
عجب رواش است,Suprise,3,BV
دالر ها ره اسمی کشور شاید بعضی فکر کنید همه شأن دالر آمریکایی هست چون دالر استرالیا کانادا پاین هست,Neutral,2,BV
موفق باشید مادران عزیز ما زنده باشه,Happy,1,BV
سلام بمردوم شریف بهسود سلام به مردان سازندگی سلام به قهرمان ای وطن مو سلام به مهندسی واینجینراب از مو سربلند سلامت شادی پیرویزی مردوم خوره ازخدای بزرگ خاهانم وسلام ازمو به اینجینر سازندگی نجیر قلبی ازمو اغای ازمو است خداوند سلامت داشته باشه ای مرد یگ انسان شریف دلسوز جامعه استه د,Happy,1,BV
ماشاالله موفق باشید,Happy,1,BV
واقعا خیلی فکر ذهن عالی میخواهد که چنین وسایل درست کند,Suprise,3,BV
انشاالله آب افغانستان در هر منطقه مهار شود انشاالله بند معیاری جور شود انشاالله,Hope,0,BV
خدا برکت به کاربارتان خیرین محترم,Happy,1,BV
ماشاالله ماشاالله ماشاالله ماشاالله ماشاالله,Happy,1,BV
فرشته کجا شید نسته استندرت استندرت زیاد مگفت,Sad,5,BV
من نمیفهمم تو چجوری گزارشگر هستی همش از خودت فیلم میگیری از جریان کار اصلاً گزارش نمیدی,Sad,5,BV
سلام بیرار انشاالله که خوب باشید، یک دفعه قریه اوته پور هم بروید تشکر از. زحمات شما,Happy,1,BV
موفق باشی انجنیر پروژه بند مردمی، به امید موفقیت تان,Hope,0,BV
ماشاالله از رسانه بهسود,Happy,1,BV
جنجنیر چراغ این خو ناق ماش میگیرد او پچه که از صبح تا شام بیل وکولنگ میزنه او ن ۶۰۰۰ وچراغ که لوکس اوتو کده میایه ۲۱هزاز است استاد نثار تو که خدمت گذاری مردم مااستی جانم استی اما چراغ میگه چی میگه اورامعاش شان ده هزار پس شان است,Sad,5,BV
سرک جور شده اما معیاری به نظر نمیرسه!,Sad,5,BV
سلام هزارهای عزیزقوم شریف افغانستان سلام,Happy,1,BV
خداکند خو رفته های دیگه منطقه ها بیدار شه دیگه جا ۵،۶ رسیده در اینجا ۳ هم تکمیل شود خوب است همینطور همگی ادامه سرک باقی مانده وناتکمیل زمان جمهوریت فراموش نکنند که از مناطق مرکزی میگذرد و کابل را به هرات تقریبا ۴۰۰ کیلومتر نزدیکتر کرده راه تردد چند ولايت محروم ساخته شده ورزانه صداها موتر مسافربری و باربری رفت و آمد نماید کرایه واستهلاک موتر چهل درصد پایین میآید یک پروژه ملی است عواید به ولسوالی ها فراهم شده ومسیر سرک قندهار خلوتر شده از تصادفات رانندگی جلوگیری می شود,Hope,0,BV
از سمم قلب آرزوی موفقیت دارم برای هموطنان گرامی خود تلاش های شما قابل قدردانی است,Happy,1,BV
بهسود زیبا تشکر از برنامه خوبتان,Suprise,3,BV
کار رسانه ای شما به اندازه یک انقلاب تأثیرگذار است . همه باهم برای ابادی سرزمین پدری,Suprise,3,BV
تشکر، برنامه خیلی زیباست . دقیقاً آدرس آن کجاست.,Suprise,3,BV
اصلأ نمیدانم چه بگم خیلی درد ناک است ،,Sad,5,BV
هر کسی که در این راه اقدم نموده خداوند پاداش عظیم برایش بدهید,Hope,0,BV
ساله است همچی سیل نیامده بود اگر سیل آمده بود کمتر ازین سیل بوده,Suprise,3,BV
چقدر زیبا شده,Suprise,3,BV
موفق باشیدبرادرعزیز امیدکه درین سفربرایتان خوش گذشته بگذره,Hope,0,BV
ماشاالله خدا بده برکت,Hope,0,BV
چقدر دل چسپی داره به درس خواندن،همواره بی وقفه تلاش نمایید برای تعلیم ای مهربانان لطفا,Suprise,3,BV
قرار گزارشات چینل یوتیوب شما رود که این بند بالای آن ساخته شده قریب دوماه در هر سال فصل آبخیزی یا سرخاب دارد. برای پیشگیری از تخریب سرخاب های موسومی و سیلاب احتمالی، آمادگی و تدابیر لازم را بگیرید. بنظرم بعد از اتمام دیوار اصلی بند، فورآ به ساخت یک سرریزه اساسی اقدام شود که خیلی مهم است و حتی دو کانال اضطراری اضافی در دو طرف دیوار بند حتمآ ساخته شود تا خدای نخواسته زحمت که کشیده شده هدر نرود و از بروز واقعه جلوگیری شود.,Neutral,2,BV
سر بلند باشید مردم هزاره نشین افغانستان افتخار وطن هستین,Happy,1,BV
ماشالله خدا بته قوت,Hope,0,BV
زحمت تان قابل قدر است خداشما توفيق بیشتر بیته,Happy,1,BV
لطفا موتر ها بدون چین اجازه ندهد,Neutral,2,BV
خدای مهربان یار و نگهدار تان هموطن خوبم,Hope,0,BV
هوای زمستانی هست,Neutral,2,BV
همیشه پیروز و سرفراز باشی همیشه انشاالله,Happy,1,BV
یک عجب آب است,Suprise,3,BV
سلام علیکم درپنای حق با شید و همیشه خندان باشید درپنای امام زمان عج الله تعالی فرجه الشریف باشید,Hope,0,BV
تشکر از شما,Happy,1,BV
آخوندک ایرانی حرف نزن,Disgust,4,BV
موفق و پیروز باشید اقای علیزاده و این خدمت به مردم توشه دنیا و اخرت تان باشد .,Hope,0,BV
خداوند شماره خیر بدهد و همچنین قومای عزیز که کمک مونه,Hope,0,BV
درود بر شما,Happy,1,BV
واقعا این بنده خدا خدمت واقعی انجام داده، که حتی رهبران ما انجام نداده.,Suprise,3,BV
خیلی سرمایه گذاری کده وله. انشاءالله موفق باشه صاحب پارک. آدم با دیدن موفقیت های قوما خوشحال موشه,Suprise,3,BV
همیشه در آخر مبلغ کل را اعلان نمیکنی این گونه حساب دهی برای مردم گنگ ومجمل است سعی کن در حساب دهی شفاف واضع اعلان کن یعنی در آخر مبل کل کمک هارا شفاف اعلن کن در حضور اهالی محل,Sad,5,BV
جهان سپاس از والی محترم میدانوردک و از تمامی پرسونلی ولایت میدانوردک زنده باد,Happy,1,BV
سلام کجاب برین آخر کجاب منطقه چهار قلا شاهی مردان ازدر,Neutral,2,BV
موفق باشین انشاالله,Hope,0,BV
این کار وظیفه شاروالی است. آفرین جوانان عزیز,Suprise,3,BV
تبریک باشه به تمام بهسودی ها,Happy,1,BV
نثار برار از قسمت که آب توسط لوله خارج میشود، قسمت خروجی آب هم چنان یک ویدیو بگیرید، همیشه از یک جای ویدیو میگیرید,Sad,5,BV
بزرگان و علما کجا هستند ؟ فقط در پلوخوری قدم رنجه میکنند ؟,Sad,5,BV
درود به مجری و مهمان برنامه عالی بود موفق باشید,Happy,1,kaktos
سلام لطفا بگتاش سیاوش را دعوت کنید تشکر,Suprise,3,kaktos
شما هم فرار نمیکردی آلان خاک بودی,Sad,5,kaktos
خداوند شما ره بشرمانه,Disgust,4,kaktos
شما أقای کالتوس بسیار یک شخصی ماجراجو و تبلیغ گر هستید این زن پیره کی از عقل محروم است با جنگ های زنانه بی شما چی را سبوت می کنید داکتر نجیب اله مردی بوت که غربی های جهان از دستش به فغان آمده بود و در مقابل دنیاه می جنگید و ترس و بیم نداشتبلاخره توسط نوکر های اجنی دال خور به همکاری غربی ها از بین رفتتهعومت مه بندید دوشمنی دال خور چی بود با داکتر نجیب,Disgust,4,kaktos
چرا یک نفر را الکی بالا میبرید والی چرا صدا میزنی مگر یک نفر والی شد تا اخر عمر باید والی شود و بعد برسد به فرزندانش یک جور میراثی می شود که از دست خود ما مردم می اید یک نفر والی شد یعنی نوکر مردم خدمت گر مردم یعنی مردم یک نفر را تایین می کند که به مردم خدمت کند نه اینکه بیاید و رئیسِها واری قدرت را در دست بگیرد هیچ کار نکند و فقط پول را پسنداز کند ویا دوزدی کند و وطن فروشی,Sad,5,kaktos
اینطور افراد را بیشتر دعوت کن لشکری,Happy,1,kaktos
مرګ بر نجفی وه همه اعضای فامیل وه طرفدلرادن دشمن مردم افغا نستان است,Disgust,4,kaktos
یاغیان وبفاوتگران چون علیپور و قیصاری باید دستگر میشدند.,Disgust,4,kaktos
نطاق باید ادب داشته باشد و بی طرفانه و غیر عقده ای برنامه اش را پیش ببرد و نام چهره های سیاسی را مودبانه بگیرد در حالیکه برای کرزی ، غنی و را از پیشوند آقای استفاده میکنی ولی استاد ربانی ، مارشال فهیم و آقای قانونی را تنها با نام میگیری,Disgust,4,kaktos
اگر امی خراسانی را اخرش طالبان نکوشت بازهرچی میگویدبگوید یادتان باشه طالبان ازخراسانی بعنوان سپراستفاده میکنه,Sad,5,kaktos
راه خیلی خطرناک است بخاطر هر نوع قاچاق وراه.پاکستان را به ایران,Sad,5,kaktos
دختر مزاری با احمد مسعود عروسی کند خوب یک جبهه مقاومت قوی جور میشه در مقابل طالب,Suprise,3,kaktos
زنده باشی آقای لشکری,Happy,1,kaktos
زنده باد احمد مسعود۔۔۔۔,Happy,1,kaktos
حقوق بشر برای تروریست ها نیست,Sad,5,kaktos
هزاران هموطن ما مهاجر شدن ، صرف به جرم فارسی حرف زدن ، تاجیک بودن ، هزاره بودن ، ازبک بودن ، ،,Sad,5,kaktos
اقای لشکری مساحبه های خود را با زیر نویس انگلیسی هم بخش کنید که مردم دنیا هم از این موزوعات اگاه شوند بخوصوص مردم امریکا,Neutral,2,kaktos
دين شمادين وحشت وجهالت أست ،تاوقتيكه ملاهاى مفتخور وجاهل وافراطى كفن نشود اين وطن وطن نشود مردم افغانستان بيك اتاترك ضرورت دارد,Disgust,4,kaktos
اقای معنوی حتما میدانید که متاسفانه ما مردم به چک چکی ها معروف هستیم حتی در مورد قاتلین وابستگان خویش، آیا چک چک کردن ها بالای کمونیست ها یادتان است، آیا چک چک کردن بالای مجاهدین یاد تان است، آیا چک چک کردن بالای دموکراسی و جمهوریت یادتان است، حتما چک چک بالای طالبان بار اول و بار دوم را به خاطر دارید. در پهلوی آن دشنام دادن، تاپه زدن، تحقیر کردن و تهمت زدن جز کلتور ما شده است. از استدلال تان ممنونم.,Sad,5,kaktos
ای آدم یک راسست یا یک قوم پرست است صد درصد وطن ما از دست امی قسم آدم ها در بدبختی رفته است.,Disgust,4,kaktos
امرالله صالح یک نفوذی خود فروخته کرزی و غنی است که با طالب ها رابطه مخفیانه دارد و قابل اعتماد و اعتبار نیست که متوجه باشند.,Disgust,4,kaktos
زنده آقایی لشکر وهمکارانش,Happy,1,kaktos
به نظر من بیشتر از این نوع قصه ها وجود داشت,Suprise,3,kaktos
اینهامزدورکشورهای بیگانه هستن آغای لشکری,Suprise,3,kaktos
به طالبان افتخار کند,Suprise,3,kaktos
مرگ بر سگها لاشخور,Disgust,4,kaktos
انسانهای دروغ گو و خائن وقتی جواب نداشت شروع میکند به بد و برا گفتن و توهین کردن این ناسید از سخنانش قشنگ معلوم است که خائن است در رابطه به افشار دست بالا داشته,Disgust,4,kaktos
جهان تباه کرد,Anger,6,kaktos
مثل ویس برمک که یک آدم ملکی او بخاطر سمت و قوم وزیر داخله ساختند در حالیکه شاید او در بخش اعمار و ساختمان چون یک انجنیر بود به وجه حسن میتوانست مصدر خدمت شود شاید در بخش نظامی صفر معلومات داشت. چنانچه از اشتباه بزرگ اش هویدا است که یک جنرال که موهای خود را در نظام سفید کرده بود در مقابل مادون و افسران زیر دست اش تحقیر و توهین کرد . به نظر من این عمل اش مقابل تمام تحصیلات علامه سوالیه گذاشت؟؟؟؟ چنانچه گفته اند که هر نقطه جای و هر سخن مکانی دارد,Sad,5,kaktos
سلام مختار جان میخواهم تا امرالله صالح عنی ومحب را نیز مصاحبه بگنید زیرا تمام ملت تباه شدند همه فرار کردند. یکتعدا نظامیان ویشین بقتل میرسند واین دزدان تاریخ فرار کرده اند با پولهای انگفت از بیتلمال را برای مردم غریب و بیچاره است دزدیدند آنها باید پس به افغانستان بیایم تا به جزای اعمالشان برسند ویا اعدام شوند غنی چه میکند با ملیونها دالری که همراه خودشان بردند از آنها نبوتز ملت افغان بود. تشک از بر نامه خوب تان سالا نوکباذرک نوروزتان پیروز باد هما.,Sad,5,kaktos
با دارایی های دزدی در خارج به عیاشی ادامه میدهند.,Sad,5,kaktos
این حرف ها وصحبت های درد مردم را دوا نمیکند وهیچ کاری ازدست شما بیرون نمیاید و حکومت های که در افغانستان بوده واست وابسته به یک کشور بیگانه بوده وبه تنهایی خود دولت غریب وبدون سرمایه به پای خود ایستاده نمیشود دلیل اش اینست که تمام مردم افعانستان بیسواد مطلق وجیره خور ومفت خور اموخته شده اند تا بیسوادی ازین ملک برچیده نشود تا روز قیامت دولت های که به قدرت میرسند جیره خور ونوکر وغلام حلقه بگوش ممالک خارجی خواهد بود .,Sad,5,kaktos
اگر همین قدر برای ایران رجز میخواندین پاسپورت المانی پاکسانی ترکیه ای و.. داشتن افتخار میکردن برای کشورتان میجنگدین این وضغ نداشتین,Anger,6,kaktos
اینطوری ک بوی ب مشام میرسد بازی کثیفی در جریان است و ناامنی های متوجه افغانستان شماست ، خصوصا ک پای داعش به رسانه باز شد. اما گمانم بر این است داعشی ک از آن صحبت به میان است. همان داعش استخباراتی است برای پیش قدم شدن و پیش برد سازمان های مدعی مبارزه با داعش و اهداف کثیف شان میباشد. یادمان نرفته چطور در نسل کشی ملت سوریه داعش به داد جنایت کاران و کفتارهای وحشی میرسید. با هماهنگی تمام وقتی میخواستند قسمتی از شهری را خالی از سکنه و قتل عام بکنند اول داعش وارد میشد چند نفر را اعدام یا سر میبرید در میدان شهر و کلیپ تهیه میکرد وپخش ، پشت سر آن بمباران و پرتاب بشکه های انفجاری ادامه پیدا میکرد ب بهانه مبارزه با داعش ، بمباران های سنگین ک ب پایان میرسیدن کفتارهای هار وارد میشدند اگر کسی زنده مانده بود تیر خلاص یا زنده بگور میشد. اینطوری میلیونها سوری قتل عام یا از خانه ها و شهرها شون رانده میشد و مناطق حد اکثر ویران و غیر قابل سکنه میشدند. همچنین گورهای دستهجمعی هزاران نفره ک بعد آزادی سوریه کشف شدن ، و همچنین لباس و علامت و مارک و پرچم های داعش ک در لازقیه در پایگاه ترک شده روسیه بعد از سقوط بشار بجا مانده بود ، خود گویای خیلی از ابهامات است ، همچنین حملات کرمان تی کلیپ و صحبتی ک گفته میشد مواد منفجره در مراسم کرمان در خودروی نیروی انتظامی بوده است ک نشان میداد خودرو چطوری متلاشی شده بود. و همچنین کسانی که تی مدت چطوری جنگ مذهبی را آلت دست خود قرار داده بودن و از احساسات مردم ساده با شیادی تمام سوءاستفاده کردن. مانند جریان زدن یا بمب گذاری حرمین عسکریین در عراق برای شعلهور کردن جنگ مذهبی و توجیه جنایات خود و همچنین بمب گذاری حرم امام رضا بعد تخریب مسجد شیخ فیض مشهد تا معترضین را سرکوب کنند. پس آگاه باشید گول این بازی های نخنما را نخورید و بدانید برخی تفکرات شیطانی از نادانی مردم چطور سوءاستفاده میکنند برای اهداف کثیف خود برای بقای چند روز بیشتر در جایگاه قدرت و سفره غارت و زدن جیب شما ب هیچ کس و هیچ چیز رحم نمیکنند پس میدان براشون باز نکنیم.,Sad,5,kaktos
افغان یا افغانستانی,Suprise,3,kaktos
خر گوساله جواب سوال بتی نه,Anger,6,kaktos
". , .",Neutral,2,kaktos
کدام غیرتی این ها افغانستان بیرون کدام جنگ افغانستان فتح کدن قهرمان ملی بود ازخارج جم کرد ما ازمقامت سابیق هم میدانم امروز هم میدانم ازاین ها چیزی جور نمی شه هروقتی جای پای پیدا کردن باز مرد میشون,Suprise,3,kaktos
قواره این خبیث را داکتر نگو!!! محترم لشکری صیب,Anger,6,kaktos
لعنتی خدا بشما سگهای ایرانی صفت . لشکری هم یک جاسوس ایرانی برامد . به نظرم فاعق سگ از جملی سگهای است که نان افغانستان را میورد و مسلی سگ در دروازه ایران و خر و اسانی غپ غپ خودرا میکند .لعنت به همه قوم و قبیلی تان .,Anger,6,kaktos
آقای لشکری تو هم زد آزادی و انسانیت بر آمدی یک برده عرب بیش نیستی خدای تو هم الله عرب عرب است نه خالق توانا شاید ناراحت شوی از خبر رسانی تو پیدا است زنده باد انسانیت و محبت,Anger,6,kaktos
داکتر صاحب نجیب الله احمدزی خداوند ان شاالله مورد رحمت ومغفرتش قرار دهد ،بیرق اش بالا وبه همه معلوم بود که چه وچطور ؟,Hope,0,kaktos
لنده قر نجست!,Anger,6,kaktos
مقاومتیکه اعضایش همانند مارشال حسیب قوای مرکز و امثال دیگر آن از دزدان، رهزنان، غاصبین، و قاتلین و با مفکوره یی فاشیستی تشکیل شده، نمیتواند به جایگه یی برسد. کسانیکه هوشیار هستند خود را مانند ظهیر با طالبان همسنگر سازند و به افغانستان عزیز از دل و جان خدمت نمایند. طالبان مردمان تبعیض نیستند. آنها مسلمانان واقعی هستند که حق را به حقدار میسپارند و به وطن خویش از دل و جان در راه خدمت به وطن ایستاده گی میکنند,Anger,6,kaktos
برو حالی خارج آمدی کونت را لچ کو و در سرک ها برقس یا برو کليسا کثيف,Sad,5,kaktos
لشکری عزیز از هیچ کس نباید گلایه کرد باالخصوص پاکستان که باوجود این همه خیانت پاکستان کسی گردن نمیگیرند. ما خود خودمان را کشتیم و تا وقتیکه ما خود هوشیار نشویم هیچکس نمیاید که بگوید من مقصر هستم. مشکل خود ماست ما خود کشتیم و وطن خود را تباه ساختیم,Sad,5,kaktos
چقدر بد بختی امد سر مردم ما خدایا,Sad,5,kaktos
گرچه برنامیته ندیدم و ارزش دیدن را هم ندارد . لشکری تو یک دلقک تمام عیار و یک انسان کرایی هستی . بزرگترین هدفت زندگیت پول است و یک ذره وجدان در تمام وجدوت نیست,Anger,6,kaktos
لشکری تازه از خواب بیدار شده قرار بود دیشب خبر بده,Neutral,2,kaktos
مجاهدین سابق منافقین امروز است ازین منافقین طالبان صد برابر شرف دارد,Suprise,3,kaktos
نحیب در اوایل بسیار سفاک و ظالم بود اما در آخر کوشش زیاد کرد که دل مردم را بدست ارد اما دیر شده بود تکه شاریده پینه نمیشود. و بلاخره توسط خلقی های به ظاهر طالب بشکل فجیع اعدام شد,Sad,5,kaktos
در برنامه قبلی پنجاه تا جناور را هم باخودت آورده بودی که چرندیادت را تأیید میکرد، این دفعه نیاوردی چرا,Suprise,3,kaktos
سلام خدمت شما آقای لشکری. این خائن را خوب گیر کرده اید هم گوسفند هم لسان!,Suprise,3,kaktos
پشتونها جرأت ندارند با هند وارد جنگ شوند,Suprise,3,kaktos
مولوی صاحب محترم السلام علیکم هیچ وقت مزدور بیگانه مصدر خدمت به مردمش شده نمیتواند از گذشته ها باید همه پند بگیرند.,Sad,5,kaktos
